NAME;GS<br> follow link to MSigDB;GS DETAILS;SIZE;ES;NES;NOM p-val;FDR q-val;FWER p-val;RANK AT MAX;LEADING EDGE
GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_UP;GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_UP;;186;-0.46987405;-15.421.275;0.003690037;0.9985307;0.246;13678;tags=55%, list=32%, signal=81%
GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN;GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN;Details ...;199;-0.49148017;-16.015.031;0.0036968577;1.0;0.172;11539;tags=49%, list=27%, signal=67%
GSE39556_CD8A_DC_VS_NK_CELL_DN;GSE39556_CD8A_DC_VS_NK_CELL_DN;Details ...;198;-0.48743296;-15.643.084;0.00390625;1.0;0.219;14612;tags=59%, list=34%, signal=89%
GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP;GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP;;200;-0.45384893;-15.089.802;0.0054347827;0.60919374;0.283;9604;tags=40%, list=23%, signal=51%
GSE3982_MAC_VS_BASOPHIL_UP;GSE3982_MAC_VS_BASOPHIL_UP;Details ...;200;-0.473896;-1.561.484;0.0054545454;1.0;0.223;11777;tags=48%, list=28%, signal=65%
GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_UP;GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_UP;;200;-0.4665602;-15.435.033;0.0054644807;1.0;0.246;13277;tags=50%, list=31%, signal=72%
GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_DN;GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_DN;;200;-0.48064938;-15.487.456;0.005484461;1.0;0.24;6108;tags=32%, list=14%, signal=37%
GSE7509_DC_VS_MONOCYTE_UP;GSE7509_DC_VS_MONOCYTE_UP;Details ...;200;-0.47794086;-15.688.379;0.005524862;1.0;0.214;11840;tags=48%, list=28%, signal=66%
GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP;GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP;;183;-0.46551365;-15.425.323;0.005524862;1.0;0.246;9533;tags=39%, list=22%, signal=51%
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_DN;GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_DN;;195;-0.4612755;-15.399.414;0.0055555557;0.95308566;0.249;12609;tags=47%, list=30%, signal=67%
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_UP;GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_UP;;196;-0.46747336;-15.255.154;0.0056497175;0.70223546;0.261;11693;tags=46%, list=28%, signal=63%
GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP;GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP;;155;-0.46624243;-15.376.536;0.007067138;0.8354086;0.25;11646;tags=45%, list=27%, signal=62%
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP;GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP;;199;-0.4706682;-15.495.299;0.007155635;1.0;0.239;11193;tags=47%, list=26%, signal=64%
GSE1566_WT_VS_EZH2_KO_LN_TCELL_DN;GSE1566_WT_VS_EZH2_KO_LN_TCELL_DN;;198;-0.46487546;-15.205.649;0.0072072074;0.7225967;0.269;10830;tags=42%, list=26%, signal=57%
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP;GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP;;200;-0.44294086;-14.842.675;0.007246377;0.51834136;0.307;12052;tags=47%, list=28%, signal=65%
GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_DN;GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_DN;;200;-0.46096826;-14.938.388;0.007259528;0.55670464;0.299;13220;tags=48%, list=31%, signal=69%
GSE37319_WT_VS_RC3H1_KO_CD44LOW_CD8_TCELL_UP;GSE37319_WT_VS_RC3H1_KO_CD44LOW_CD8_TCELL_UP;;149;-0.4586602;-15.334.922;0.0073260074;0.8212799;0.256;9621;tags=40%, list=23%, signal=51%
GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP;GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP;;125;-0.4658621;-15.177.957;0.007352941;0.65701866;0.271;10215;tags=39%, list=24%, signal=51%
GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN;GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN;;198;-0.46326682;-15.370.733;0.007380074;0.8075844;0.251;13559;tags=52%, list=32%, signal=75%
GSE360_L_MAJOR_VS_T_GONDII_DC_UP;GSE360_L_MAJOR_VS_T_GONDII_DC_UP;;198;-0.45406753;-14.883.689;0.0074074073;0.5617143;0.304;13000;tags=49%, list=31%, signal=71%
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP;GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP;Details ...;198;-0.4892254;-1.602.384;0.0074766357;1.0;0.17;7102;tags=36%, list=17%, signal=43%
LTE2_UP.V1_UP;LTE2_UP.V1_UP;;188;-0.47310534;-15.506.494;0.0074766357;1.0;0.233;13908;tags=52%, list=33%, signal=77%
GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP;GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP;Details ...;200;-0.49602214;-15.691.718;0.007518797;1.0;0.213;11625;tags=51%, list=27%, signal=70%
GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_DN;GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_DN;;146;-0.4752244;-15.395.427;0.0089126555;0.93494534;0.25;13717;tags=54%, list=32%, signal=80%
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP;GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP;;200;-0.45711595;-15.278.387;0.008960574;0.72187704;0.261;9443;tags=39%, list=22%, signal=49%
GSE3720_LPS_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP;GSE3720_LPS_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP;;137;-0.47724122;-15.408.193;0.008976661;0.99226755;0.248;11082;tags=48%, list=26%, signal=65%
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN;GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN;;185;-0.43680555;-14.793.935;0.009041592;0.4961563;0.311;11202;tags=41%, list=26%, signal=56%
GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN;GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN;Details ...;198;-0.48023465;-15.816.426;0.009124087;1.0;0.198;10734;tags=48%, list=25%, signal=64%
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP;GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP;;181;-0.4563049;-15.167.664;0.00915751;0.65907073;0.272;12604;tags=45%, list=30%, signal=63%
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP;GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP;;200;-0.46248594;-15.080.844;0.00929368;0.5985096;0.285;12624;tags=48%, list=30%, signal=67%
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN;GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN;;200;-0.46259147;-15.139.881;0.00929368;0.63076085;0.278;11695;tags=47%, list=28%, signal=65%
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP;GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP;Details ...;200;-0.47847855;-15.598.015;0.009310987;1.0;0.224;11799;tags=46%, list=28%, signal=63%
GSE37532_WT_VS_PPARG_KO_LN_TCONV_UP;GSE37532_WT_VS_PPARG_KO_LN_TCONV_UP;;200;-0.4791899;-15.450.572;0.009310987;1.0;0.246;8503;tags=39%, list=20%, signal=48%
GSE7852_THYMUS_VS_FAT_TCONV_DN;GSE7852_THYMUS_VS_FAT_TCONV_DN;;200;-0.46272472;-14.950.211;0.009380863;0.55567163;0.299;10693;tags=44%, list=25%, signal=58%
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP;GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP;;195;-0.45512962;-15.090.286;0.009380863;0.6151909;0.282;15555;tags=55%, list=37%, signal=86%
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP;GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP;;198;-0.4422714;-14.625.818;0.009398496;0.43156388;0.324;9785;tags=38%, list=23%, signal=49%
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN;GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN;Details ...;125;-0.48259038;-15.641.454;0.009398496;1.0;0.219;11263;tags=48%, list=27%, signal=65%
GSE45837_WT_VS_GFI1_KO_PDC_UP;GSE45837_WT_VS_GFI1_KO_PDC_UP;;195;-0.47196713;-15.312.731;0.009433962;0.8011217;0.258;10042;tags=44%, list=24%, signal=57%
GSE11386_NAIVE_VS_MEMORY_BCELL_DN;GSE11386_NAIVE_VS_MEMORY_BCELL_DN;;158;-0.47865093;-15.309.044;0.009596929;0.7760805;0.258;15149;tags=59%, list=36%, signal=92%
GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN;GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN;;120;-0.47106627;-15.502.903;0.010600707;1.0;0.234;12627;tags=45%, list=30%, signal=64%
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN;GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN;;184;-0.4570359;-15.064.774;0.010676157;0.5830514;0.288;12793;tags=48%, list=30%, signal=68%
PRC1_BMI_UP.V1_UP;PRC1_BMI_UP.V1_UP;;185;-0.46732095;-15.491.843;0.010714286;1.0;0.24;15977;tags=61%, list=38%, signal=98%
GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_UP;GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_UP;;193;-0.4254944;-14.804.944;0.010791367;0.5066976;0.311;15045;tags=51%, list=36%, signal=78%
GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP;GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP;;200;-0.45618674;-15.262.125;0.010791367;0.71634793;0.261;9942;tags=40%, list=23%, signal=52%
GSE360_DC_VS_MAC_L_MAJOR_DN;GSE360_DC_VS_MAC_L_MAJOR_DN;;199;-0.45382717;-14.947.383;0.010889292;0.55366766;0.299;11726;tags=43%, list=28%, signal=59%
GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP;GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP;;200;-0.46308273;-15.462.015;0.010889292;1.0;0.243;14401;tags=54%, list=34%, signal=81%
GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_DN;GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_DN;;200;-0.44600952;-14.685.057;0.010968922;0.4590621;0.318;12404;tags=43%, list=29%, signal=60%
GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP;GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP;;200;-0.4572741;-14.896.241;0.011009174;0.5601898;0.303;13147;tags=51%, list=31%, signal=73%
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP;GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP;;200;-0.45878306;-15.080.917;0.011009174;0.6045385;0.285;11819;tags=47%, list=28%, signal=64%
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN;GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN;;197;-0.46874514;-15.258.838;0.011029412;0.70875293;0.261;15197;tags=55%, list=36%, signal=85%
GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP;GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_UP;;200;-0.46469042;-15.279.366;0.011090573;0.7328117;0.26;10967;tags=43%, list=26%, signal=57%
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP;GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP;;198;-0.4654075;-15.449.123;0.011090573;1.0;0.246;11099;tags=46%, list=26%, signal=62%
GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_UP;GSE23114_WT_VS_SLE2C1_MOUSE_PERITONEAL_CAVITY_B1A_BCELL_UP;;194;-0.46583524;-15.387.232;0.0111524165;0.8795726;0.25;11356;tags=45%, list=27%, signal=62%
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TCONV_CD4_TCELL_DN;GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TCONV_CD4_TCELL_DN;Details ...;104;-0.47639105;-15.593.301;0.011214953;1.0;0.224;12003;tags=47%, list=28%, signal=66%
GSE3982_BASOPHIL_VS_NKCELL_DN;GSE3982_BASOPHIL_VS_NKCELL_DN;;197;-0.46903852;-15.312.823;0.011235955;0.8166795;0.258;9424;tags=40%, list=22%, signal=51%
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN;GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN;Details ...;200;-0.48860392;-15.514.029;0.011428571;1.0;0.233;10202;tags=45%, list=24%, signal=59%
GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN;GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_DN;;199;-0.44632563;-14.924.874;0.012727273;0.5586958;0.301;11840;tags=41%, list=28%, signal=57%
GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN;GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN;;189;-0.44671264;-1.513.182;0.012773722;0.63123727;0.279;9221;tags=38%, list=22%, signal=48%
KRAS.DF.V1_UP;KRAS.DF.V1_UP;;191;-0.45829633;-15.286.093;0.012773722;0.73776084;0.26;13812;tags=49%, list=33%, signal=73%
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP;GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP;Details ...;199;-0.47628817;-15.579.418;0.012773722;1.0;0.228;11567;tags=45%, list=27%, signal=61%
GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_DN;GSE11973_MIR223_KOVS_WT_BONE_MARROW_NEUTROPHIL_DN;;177;-0.45964593;-15.116.688;0.012844036;0.6384936;0.279;11517;tags=44%, list=27%, signal=59%
GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_DN;GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_DN;;199;-0.4552872;-14.986.972;0.012867647;0.5873065;0.298;11052;tags=43%, list=26%, signal=58%
GSE2585_CD80_HIGH_VS_LOW_MTEC_DN;GSE2585_CD80_HIGH_VS_LOW_MTEC_DN;;196;-0.44797358;-14.993.794;0.012867647;0.59235466;0.296;13640;tags=51%, list=32%, signal=74%
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_DN;GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_DN;;197;-0.45268092;-15.108.547;0.012939001;0.62520605;0.282;11931;tags=45%, list=28%, signal=62%
GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_DN;GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_DN;;198;-0.46278557;-1.508.798;0.012987013;0.6044399;0.284;13117;tags=51%, list=31%, signal=73%
GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN;GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN;;199;-0.46604162;-15.237.532;0.012987013;0.71088064;0.265;12177;tags=49%, list=29%, signal=69%
GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN;GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_DN;;144;-0.4859553;-15.309.914;0.013035382;0.78964764;0.258;13162;tags=50%, list=31%, signal=72%
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP;GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP;;200;-0.4786515;-15.293.523;0.013157895;0.7414063;0.259;14224;tags=56%, list=34%, signal=83%
GSE40274_CTRL_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN;GSE40274_CTRL_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN;;169;-0.46306017;-15.295.218;0.013207547;0.7525474;0.259;9364;tags=38%, list=22%, signal=48%
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_DN;GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_DN;;183;-0.4430173;-14.877.274;0.014209592;0.5430689;0.305;12787;tags=46%, list=30%, signal=66%
GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN;GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN;;190;-0.42888305;-14.865.271;0.01438849;0.52975404;0.306;13707;tags=48%, list=32%, signal=70%
GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP;GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP;;196;-0.4528804;-14.984.083;0.0144665465;0.5847672;0.298;8920;tags=36%, list=21%, signal=46%
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_129_MOUSE_DN;GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_129_MOUSE_DN;;200;-0.46627492;-15.435.305;0.014492754;1.0;0.246;14441;tags=52%, list=34%, signal=79%
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_DN;GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_DN;;200;-0.45960638;-15.151.758;0.01459854;0.64271307;0.275;11220;tags=46%, list=26%, signal=62%
GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP;GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP;;200;-0.46836287;-15.186.998;0.014625229;0.67443925;0.271;9122;tags=39%, list=22%, signal=49%
GSE20198_IL12_VS_IFNA_TREATED_ACT_CD4_TCELL_UP;GSE20198_IL12_VS_IFNA_TREATED_ACT_CD4_TCELL_UP;;199;-0.44119075;-14.497.306;0.014652015;0.3978676;0.339;11401;tags=39%, list=27%, signal=53%
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN;GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN;;199;-0.46195096;-14.951.425;0.014732965;0.56795514;0.299;11011;tags=42%, list=26%, signal=56%
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN;GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN;;200;-0.45003504;-14.732.969;0.014760148;0.47721004;0.314;10323;tags=44%, list=24%, signal=58%
GSE360_L_DONOVANI_VS_T_GONDII_DC_UP;GSE360_L_DONOVANI_VS_T_GONDII_DC_UP;;200;-0.46049663;-15.072.061;0.014787431;0.5881946;0.287;12860;tags=48%, list=30%, signal=69%
GSE40443_INDUCED_VS_TOTAL_TREG_DN;GSE40443_INDUCED_VS_TOTAL_TREG_DN;;200;-0.46761018;-15.389.757;0.014787431;0.8974419;0.25;8873;tags=40%, list=21%, signal=50%
GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP;GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP;;199;-0.47694474;-15.466.802;0.014787431;1.0;0.243;11996;tags=47%, list=28%, signal=65%
GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_UP;GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_UP;;116;-0.48323655;-15.384.552;0.014842301;0.8628916;0.25;11521;tags=50%, list=27%, signal=68%
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP;GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP;;200;-0.46714714;-15.364.639;0.014897579;0.79864097;0.253;9963;tags=41%, list=24%, signal=53%
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP;GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP;;195;-0.46423805;-15.191.219;0.01509434;0.70764786;0.269;9381;tags=42%, list=22%, signal=53%
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP;GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_6H_UP;;194;-0.47118944;-15.482.334;0.015209125;1.0;0.241;14350;tags=59%, list=34%, signal=89%
GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP;GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP;;200;-0.47469443;-15.161.952;0.015267176;0.6483347;0.275;12483;tags=51%, list=29%, signal=72%
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN;GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN;;200;-0.4432029;-14.906.437;0.01607143;0.56069934;0.302;13075;tags=47%, list=31%, signal=68%
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_DN;GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_DN;;197;-0.439395;-1.469.554;0.016216217;0.46989352;0.315;12127;tags=44%, list=29%, signal=62%
GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP;GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP;;199;-0.4675139;-15.392.417;0.016393442;0.9166434;0.25;13233;tags=50%, list=31%, signal=73%
GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_DN;GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_DN;;190;-0.45413795;-15.017.732;0.016423358;0.58871186;0.295;11665;tags=46%, list=28%, signal=64%
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN;GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN;;179;-0.44344306;-1.474.699;0.016513761;0.4831597;0.313;11213;tags=45%, list=26%, signal=61%
GSE3982_EOSINOPHIL_VS_NKCELL_DN;GSE3982_EOSINOPHIL_VS_NKCELL_DN;;198;-0.4458166;-14.879.277;0.016513761;0.545264;0.305;13208;tags=48%, list=31%, signal=70%
