NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP	GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP		200	-0.5000352	-1.5977328	0.0036563072	0.20519458	0.179	12736	tags=52%, list=30%, signal=73%	
GSE14026_TH1_VS_TH17_DN	GSE14026_TH1_VS_TH17_DN		200	-0.4975731	-1.5957211	0.0	0.20716712	0.185	6733	tags=35%, list=16%, signal=41%	
GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_DN	GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_DN		200	-0.4962839	-1.5954752	0.0036429872	0.20076849	0.185	8834	tags=41%, list=21%, signal=52%	
GSE37532_WT_VS_PPARG_KO_LN_TREG_UP	GSE37532_WT_VS_PPARG_KO_LN_TREG_UP		176	-0.49954322	-1.5942979	0.0	0.19912758	0.187	12784	tags=49%, list=30%, signal=70%	
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP		174	-0.51385474	-1.5931789	0.0	0.19671999	0.189	10868	tags=45%, list=26%, signal=60%	
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN	GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_DN		151	-0.48791856	-1.5920098	0.0017094017	0.19561437	0.191	9355	tags=44%, list=22%, signal=57%	
GSE22589_HEALTHY_VS_SIV_INFECTED_DC_UP	GSE22589_HEALTHY_VS_SIV_INFECTED_DC_UP		199	-0.5121595	-1.5916599	0.0018761726	0.1903831	0.191	12647	tags=54%, list=30%, signal=76%	
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN		200	-0.501037	-1.5915922	0.0018552876	0.18451267	0.191	8077	tags=41%, list=19%, signal=50%	
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP		200	-0.4716348	-1.591526	0.008741259	0.17880851	0.191	12243	tags=49%, list=29%, signal=69%	
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP	GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP		200	-0.4895509	-1.5884756	0.0	0.18790357	0.199	9685	tags=41%, list=23%, signal=53%	
GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP	GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP		200	-0.4958615	-1.5881431	0.0018050541	0.1841057	0.2	11147	tags=47%, list=26%, signal=63%	
GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP		200	-0.50812024	-1.587251	0.0	0.18301724	0.201	13663	tags=57%, list=32%, signal=83%	
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN	GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_DN		200	-0.50718755	-1.5865623	0.0018761726	0.1812695	0.201	8013	tags=43%, list=19%, signal=53%	
GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_UP	GSE33292_DN3_THYMOCYTE_VS_TCELL_LYMPHOMA_FROM_TCF1_KO_UP		173	-0.5011412	-1.586245	0.0037105752	0.17769782	0.201	10251	tags=45%, list=24%, signal=58%	
GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_DN	GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_DN		200	-0.514622	-1.5856673	0.0019047619	0.17592204	0.201	15663	tags=62%, list=37%, signal=98%	
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN	GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_DN		196	-0.47781953	-1.5793076	0.0018083183	0.20252013	0.205	11875	tags=46%, list=28%, signal=64%	
GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP	GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP		199	-0.49621332	-1.5771147	0.0036697248	0.20875469	0.206	14451	tags=57%, list=34%, signal=86%	
GSE37301_PRO_BCELL_VS_CD4_TCELL_UP	GSE37301_PRO_BCELL_VS_CD4_TCELL_UP		170	-0.50259125	-1.5761228	0.0075329565	0.20883238	0.207	12816	tags=52%, list=30%, signal=74%	
GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_UP	GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_UP		200	-0.50518054	-1.5757432	0.007518797	0.20569336	0.207	13394	tags=58%, list=32%, signal=84%	
GSE17721_CTRL_VS_CPG_6H_BMDC_DN	GSE17721_CTRL_VS_CPG_6H_BMDC_DN		200	-0.49477696	-1.5754678	0.0055350554	0.2023902	0.207	12327	tags=49%, list=29%, signal=69%	
GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP	GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP		199	-0.49746045	-1.5754336	0.0	0.19788766	0.207	12474	tags=51%, list=29%, signal=72%	
GSE7852_LN_VS_THYMUS_TCONV_DN	GSE7852_LN_VS_THYMUS_TCONV_DN		200	-0.49467716	-1.5750877	0.0	0.19498764	0.207	10540	tags=46%, list=25%, signal=61%	
GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_UP	GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_UP		116	-0.5114847	-1.5749549	0.0018214936	0.19131318	0.208	6946	tags=34%, list=16%, signal=40%	
GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_UP	GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_UP		198	-0.49457717	-1.5737154	0.0017953322	0.19240406	0.208	12798	tags=53%, list=30%, signal=76%	
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_DN	GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_DN		200	-0.4969509	-1.5737079	0.0	0.18835707	0.208	11752	tags=46%, list=28%, signal=63%	
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP	GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_UP		200	-0.4842626	-1.5711524	0.0035906644	0.19602773	0.208	9786	tags=43%, list=23%, signal=55%	
GSE40666_WT_VS_STAT1_KO_CD8_TCELL_DN	GSE40666_WT_VS_STAT1_KO_CD8_TCELL_DN		200	-0.48778313	-1.5695008	0.0073126145	0.19940206	0.209	11244	tags=49%, list=27%, signal=66%	
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN		199	-0.49066538	-1.5685431	0.0053380784	0.20022202	0.212	12177	tags=50%, list=29%, signal=69%	
GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_DN	GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_DN		197	-0.4925558	-1.5684541	0.0	0.19683418	0.212	10194	tags=44%, list=24%, signal=58%	
GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP	GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP		200	-0.48719445	-1.56822	0.0036036037	0.19420996	0.212	13044	tags=52%, list=31%, signal=75%	
GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_3H_IFNG_STIM_DN	GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_3H_IFNG_STIM_DN		128	-0.49337178	-1.5678139	0.0018315018	0.19284457	0.214	11994	tags=51%, list=28%, signal=71%	
GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		198	-0.49480712	-1.5676602	0.0	0.18996455	0.214	12474	tags=51%, list=29%, signal=72%	
GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP	GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP		200	-0.49415153	-1.5674332	0.005424955	0.18762833	0.214	14000	tags=55%, list=33%, signal=82%	
GSE9946_IMMATURE_VS_MATURE_STIMULATORY_DC_UP	GSE9946_IMMATURE_VS_MATURE_STIMULATORY_DC_UP		137	-0.49251273	-1.5673892	0.0072332732	0.18451305	0.214	12542	tags=52%, list=30%, signal=73%	
GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_DN	GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_DN		200	-0.49256495	-1.5673585	0.0	0.18143003	0.214	10746	tags=45%, list=25%, signal=59%	
GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_DN	GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_DN		199	-0.49764577	-1.5664368	0.0037523452	0.1825225	0.215	12032	tags=50%, list=28%, signal=70%	
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN		177	-0.49038273	-1.5650487	0.0017985612	0.18528977	0.217	13731	tags=53%, list=32%, signal=77%	
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN	GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_DN		200	-0.49156296	-1.5650146	0.014869888	0.18240285	0.217	8000	tags=39%, list=19%, signal=47%	
GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	GSE6269_FLU_VS_E_COLI_INF_PBMC_UP		164	-0.5123355	-1.5647973	0.009487666	0.18049234	0.217	9894	tags=46%, list=23%, signal=60%	
GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_UP	GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_UP		155	-0.499512	-1.5645183	0.009541985	0.17853723	0.217	10542	tags=47%, list=25%, signal=62%	
GSE27786_LSK_VS_NKCELL_DN	GSE27786_LSK_VS_NKCELL_DN		200	-0.4885978	-1.5640405	0.0018450185	0.17730635	0.217	9783	tags=42%, list=23%, signal=54%	
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP		197	-0.4908325	-1.5638428	0.0036697248	0.17525633	0.218	10564	tags=47%, list=25%, signal=62%	
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP	GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP		199	-0.49298316	-1.5629696	0.011131725	0.17635994	0.221	12482	tags=53%, list=29%, signal=75%	
GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_UP	GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_UP		200	-0.4914023	-1.5622829	0.00729927	0.17653188	0.221	11359	tags=47%, list=27%, signal=64%	
GSE15930_STIM_VS_STIM_AND_IL12_72H_CD8_T_CELL_UP	GSE15930_STIM_VS_STIM_AND_IL12_72H_CD8_T_CELL_UP		199	-0.49339536	-1.5620323	0.0017985612	0.17484733	0.221	12686	tags=53%, list=30%, signal=75%	
GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP		198	-0.4969099	-1.5610778	0.0037105752	0.1760537	0.221	14356	tags=61%, list=34%, signal=91%	
GSE36009_UNSTIM_VS_LPS_STIM_DC_UP	GSE36009_UNSTIM_VS_LPS_STIM_DC_UP		200	-0.47196418	-1.5610069	0.001754386	0.17386813	0.221	11798	tags=47%, list=28%, signal=64%	
GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_DN	GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_DN		200	-0.50082934	-1.5607691	0.0037383179	0.17226246	0.221	11362	tags=46%, list=27%, signal=62%	
GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP		183	-0.5017397	-1.5603145	0.0018348624	0.17186159	0.221	11151	tags=48%, list=26%, signal=65%	
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_DN	GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_DN		199	-0.48198596	-1.5598136	0.0017921147	0.17142615	0.222	12436	tags=49%, list=29%, signal=69%	
GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP	GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP		200	-0.47774708	-1.5576478	0.0018083183	0.17791991	0.223	13707	tags=55%, list=32%, signal=80%	
GSE9960_HEALTHY_VS_SEPSIS_PBMC_UP	GSE9960_HEALTHY_VS_SEPSIS_PBMC_UP		195	-0.47102743	-1.557327	0.0	0.17665775	0.223	9117	tags=41%, list=22%, signal=51%	
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP	GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_LN_UP		200	-0.4877827	-1.5571066	0.0036968577	0.17504877	0.223	11428	tags=46%, list=27%, signal=63%	
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN	GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN		200	-0.47848883	-1.5568185	0.0053956835	0.17390098	0.223	11999	tags=51%, list=28%, signal=71%	
GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP	GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP		192	-0.48111328	-1.5564293	0.0	0.17328192	0.223	10908	tags=45%, list=26%, signal=60%	
GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP	GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP		200	-0.48619768	-1.5554229	0.011342155	0.17543724	0.223	12609	tags=50%, list=30%, signal=70%	
GSE20198_UNTREATED_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_DN	GSE20198_UNTREATED_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_DN		199	-0.47827238	-1.555033	0.0068610637	0.1748145	0.225	12850	tags=53%, list=30%, signal=75%	
GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP		184	-0.48154756	-1.5548629	0.00729927	0.17320561	0.225	9648	tags=39%, list=23%, signal=50%	
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN	GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN		200	-0.4845637	-1.5546843	0.0018726592	0.17159596	0.227	13050	tags=52%, list=31%, signal=75%	
GSE14000_4H_VS_16H_LPS_DC_DN	GSE14000_4H_VS_16H_LPS_DC_DN		200	-0.48555496	-1.554149	0.0018115942	0.17151155	0.227	12243	tags=46%, list=29%, signal=64%	
GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_UP	GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_UP		200	-0.49277857	-1.5540637	0.0055555557	0.16984189	0.228	11246	tags=51%, list=27%, signal=68%	
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP		198	-0.48778734	-1.5539823	0.0036764706	0.16821201	0.228	13589	tags=55%, list=32%, signal=80%	
GSE17721_PAM3CSK4_VS_CPG_8H_BMDC_DN	GSE17721_PAM3CSK4_VS_CPG_8H_BMDC_DN		200	-0.48528856	-1.5538561	0.009009009	0.16676255	0.228	12225	tags=50%, list=29%, signal=70%	
GSE3982_MAST_CELL_VS_NEUTROPHIL_UP	GSE3982_MAST_CELL_VS_NEUTROPHIL_UP		199	-0.47943777	-1.5532846	0.00877193	0.16698061	0.23	12200	tags=50%, list=29%, signal=70%	
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP		200	-0.4817516	-1.5531046	0.0036231885	0.16564165	0.23	14077	tags=52%, list=33%, signal=78%	
GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		169	-0.49186075	-1.5517148	0.0054054055	0.16883647	0.231	15355	tags=63%, list=36%, signal=98%	
GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN	GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN		199	-0.49926874	-1.5513251	0.01119403	0.16835791	0.232	14231	tags=54%, list=34%, signal=81%	
GSE36009_UNSTIM_VS_LPS_STIM_DC_DN	GSE36009_UNSTIM_VS_LPS_STIM_DC_DN		200	-0.4857488	-1.5505635	0.0054744524	0.1693291	0.232	8241	tags=40%, list=19%, signal=49%	
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN	GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN		198	-0.4985172	-1.5505401	0.0	0.16756484	0.232	13289	tags=54%, list=31%, signal=78%	
GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_UP	GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_UP		187	-0.5009907	-1.5504382	0.007352941	0.16611336	0.232	11667	tags=47%, list=28%, signal=64%	
GSE17974_0H_VS_4H_IN_VITRO_ACT_CD4_TCELL_UP	GSE17974_0H_VS_4H_IN_VITRO_ACT_CD4_TCELL_UP		192	-0.49240157	-1.5500523	0.0076190475	0.1656965	0.233	15165	tags=55%, list=36%, signal=86%	
GSE9946_IMMATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_UP	GSE9946_IMMATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_UP		151	-0.5066009	-1.5498586	0.0073260074	0.16464609	0.233	16094	tags=62%, list=38%, signal=100%	
GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP	GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP		199	-0.49068958	-1.5492585	0.007518797	0.16531637	0.234	13128	tags=54%, list=31%, signal=78%	
GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN	GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN		198	-0.47865647	-1.5486231	0.007194245	0.16602989	0.234	8202	tags=35%, list=19%, signal=44%	
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN	GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN		199	-0.46683326	-1.5483545	0.003508772	0.1653594	0.234	11757	tags=46%, list=28%, signal=64%	
GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN	GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN		200	-0.48566785	-1.5475929	0.0053003533	0.16647236	0.236	10684	tags=46%, list=25%, signal=61%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		105	-0.50148636	-1.5467945	0.005725191	0.1679841	0.236	12907	tags=54%, list=30%, signal=78%	
GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP	GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP		200	-0.481017	-1.5459282	0.0036630037	0.16967474	0.236	10105	tags=43%, list=24%, signal=56%	
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_PMA_STIM_DN	GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_PMA_STIM_DN		200	-0.48175144	-1.5442879	0.0054644807	0.17445098	0.239	15117	tags=57%, list=36%, signal=87%	
