NAME;GS<br> follow link to MSigDB;GS DETAILS;SIZE;ES;NES;NOM p-val;FDR q-val;FWER p-val;RANK AT MAX;LEADING EDGE
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP;GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP;;199;-0.4217277;-1.560.788;0.008547009;0.76580036;0.263;12050;tags=51%, list=28%, signal=71%
AKT_UP.V1_UP;AKT_UP.V1_UP;;169;-0.42289943;-15.597.148;0.0035587188;0.7546042;0.265;9849;tags=43%, list=23%, signal=55%
GSE5960_TH1_VS_ANERGIC_TH1_UP;GSE5960_TH1_VS_ANERGIC_TH1_UP;;199;-0.42937934;-15.596.291;0.0033840947;0.73325974;0.265;13610;tags=55%, list=32%, signal=80%
CYCLIN_D1_KE_.V1_UP;CYCLIN_D1_KE_.V1_UP;;188;-0.44867977;-15.584.255;0.016216217;0.7260207;0.266;8932;tags=45%, list=21%, signal=57%
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP;GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP;;193;-0.4268828;-15.558.562;0.006956522;0.7346383;0.269;10768;tags=46%, list=25%, signal=62%
GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN;GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN;;200;-0.41695285;-15.554.638;0.0032840723;0.7194692;0.269;13504;tags=57%, list=32%, signal=83%
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_DN;GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_DN;;200;-0.41013026;-15.548.846;0.006644518;0.70670116;0.27;11408;tags=46%, list=27%, signal=62%
GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN;GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN;;200;-0.42701;-15.531.585;0.01056338;0.707846;0.27;9245;tags=41%, list=22%, signal=52%
GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN;GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN;;200;-0.4082593;-1.552.374;0.0032626428;0.6988446;0.271;10869;tags=47%, list=26%, signal=62%
SINGH_KRAS_DEPENDENCY_SIGNATURE;SINGH_KRAS_DEPENDENCY_SIGNATURE;;20;-0.5695546;-15.500.872;0.018739352;0.7070091;0.275;4313;tags=40%, list=10%, signal=45%
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP;GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP;;198;-0.3992647;-15.500.069;0.015789473;0.6910847;0.275;9669;tags=41%, list=23%, signal=53%
GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_DN;GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_DN;;200;-0.40427503;-15.491.006;0.01861252;0.6842296;0.276;12440;tags=52%, list=29%, signal=73%
GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_DN;GSE24634_NAIVE_CD4_TCELL_VS_DAY7_IL4_CONV_TREG_DN;;200;-0.41057643;-15.471.637;0.004950495;0.6890678;0.284;10732;tags=45%, list=25%, signal=59%
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN;GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN;;200;-0.4102765;-15.467.622;0.0067114094;0.6771953;0.284;8392;tags=35%, list=20%, signal=43%
GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_DN;GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_DN;;198;-0.4160372;-15.456.414;0.0034602077;0.6736474;0.287;9765;tags=43%, list=23%, signal=56%
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP;GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP;;200;-0.41476837;-15.445.015;0.025;0.6700741;0.287;11582;tags=50%, list=27%, signal=68%
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN;GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN;;164;-0.42855376;-15.442.091;0.008547009;0.6589095;0.287;10474;tags=46%, list=25%, signal=61%
GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_DN;GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_DN;;200;-0.43058512;-15.441.778;0.008576329;0.645652;0.287;11526;tags=48%, list=27%, signal=66%
GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP;GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP;;199;-0.42463672;-15.420.042;0.011844331;0.65360945;0.29;12795;tags=48%, list=30%, signal=69%
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN;GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN;;200;-0.40985316;-15.417.583;0.010291595;0.6432031;0.291;10024;tags=42%, list=24%, signal=55%
GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP;GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP;;199;-0.42196518;-1.541.656;0.015254238;0.6317668;0.291;11940;tags=44%, list=28%, signal=61%
GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN;GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN;;199;-0.42570716;-15.406.377;0.017452007;0.62874657;0.294;8253;tags=39%, list=19%, signal=48%
GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP;GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP;;200;-0.4223169;-15.405.629;0.01724138;0.6176384;0.295;9848;tags=44%, list=23%, signal=56%
GSE17721_CTRL_VS_LPS_6H_BMDC_DN;GSE17721_CTRL_VS_LPS_6H_BMDC_DN;;199;-0.4257943;-15.392.947;0.013536379;0.61832434;0.295;9401;tags=44%, list=22%, signal=56%
GSE22886_TH1_VS_TH2_12H_ACT_UP;GSE22886_TH1_VS_TH2_12H_ACT_UP;;199;-0.41397688;-15.377.476;0.01559792;0.62084824;0.295;10784;tags=42%, list=25%, signal=56%
GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP;GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP;;200;-0.40813306;-15.372.684;0.017636685;0.61434186;0.297;16716;tags=61%, list=39%, signal=100%
ESC_J1_UP_LATE.V1_UP;ESC_J1_UP_LATE.V1_UP;;186;-0.41016564;-15.355.684;0.010309278;0.61888486;0.3;11781;tags=45%, list=28%, signal=62%
GSE557_CIITA_KO_VS_I_AB_KO_DC_DN;GSE557_CIITA_KO_VS_I_AB_KO_DC_DN;;200;-0.42353994;-15.349.855;0.0154639175;0.6133807;0.301;8897;tags=40%, list=21%, signal=50%
GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_DN;GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_DN;;198;-0.41228175;-15.346.515;0.019434629;0.6060478;0.301;13653;tags=51%, list=32%, signal=75%
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP;GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP;;200;-0.42192233;-15.346.416;0.011844331;0.59621406;0.301;11685;tags=50%, list=28%, signal=68%
GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_DN;GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_DN;;200;-0.42204365;-1.534.258;0.008726004;0.58989376;0.301;12626;tags=51%, list=30%, signal=72%
GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP;GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP;;200;-0.41503;-15.339.737;0.013468013;0.58298767;0.301;12013;tags=49%, list=28%, signal=68%
CORDENONSI_YAP_CONSERVED_SIGNATURE;CORDENONSI_YAP_CONSERVED_SIGNATURE;;57;-0.4708705;-15.330.312;0.012048192;0.58147395;0.301;11128;tags=53%, list=26%, signal=71%
GSE17721_CTRL_VS_LPS_8H_BMDC_DN;GSE17721_CTRL_VS_LPS_8H_BMDC_DN;;199;-0.40945885;-15.326.979;0.023450587;0.57559234;0.301;9593;tags=45%, list=23%, signal=58%
GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP;GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP;;200;-0.4262644;-15.324.528;0.0033557047;0.5687792;0.301;13228;tags=51%, list=31%, signal=74%
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP;GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP;;150;-0.40305063;-15.323.179;0.01604278;0.56133765;0.301;15311;tags=53%, list=36%, signal=82%
GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP;GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_UP;;200;-0.41504192;-15.317.572;0.01362862;0.5575567;0.303;11647;tags=46%, list=27%, signal=62%
ESC_V6.5_UP_LATE.V1_UP;ESC_V6.5_UP_LATE.V1_UP;;184;-0.42338982;-15.312.053;0.026690392;0.55388886;0.304;14277;tags=52%, list=34%, signal=78%
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN;GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN;;199;-0.43150452;-15.297.059;0.007029877;0.5573149;0.307;13162;tags=54%, list=31%, signal=78%
E2F1_UP.V1_UP;E2F1_UP.V1_UP;;188;-0.42009497;-15.288.811;0.015570934;0.5553671;0.307;8950;tags=40%, list=21%, signal=51%
GSE7852_LN_VS_FAT_TCONV_DN;GSE7852_LN_VS_FAT_TCONV_DN;;200;-0.41292903;-1.528.834;0.023728814;0.54795474;0.307;9891;tags=43%, list=23%, signal=55%
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN;GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN;;200;-0.4033445;-15.283.328;0.024390243;0.5443378;0.309;7697;tags=36%, list=18%, signal=43%
GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN;GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN;;200;-0.42181215;-15.279.022;0.0052724076;0.5404548;0.31;9073;tags=44%, list=21%, signal=55%
GSE6259_33D1_POS_DC_VS_CD8_TCELL_UP;GSE6259_33D1_POS_DC_VS_CD8_TCELL_UP;;145;-0.42488185;-15.275.674;0.024137931;0.5359874;0.31;8680;tags=37%, list=20%, signal=46%
GSE17721_POLYIC_VS_CPG_12H_BMDC_UP;GSE17721_POLYIC_VS_CPG_12H_BMDC_UP;;200;-0.42991537;-15.275.102;0.0154639175;0.52930146;0.31;9567;tags=42%, list=23%, signal=54%
GSE45365_NK_CELL_VS_CD11B_DC_UP;GSE45365_NK_CELL_VS_CD11B_DC_UP;;199;-0.40312335;-15.268.166;0.022727273;0.5276951;0.31;9534;tags=39%, list=22%, signal=50%
GSE21927_UNTREATED_VS_GMCSF_IL6_TREATED_BONE_MARROW_UP;GSE21927_UNTREATED_VS_GMCSF_IL6_TREATED_BONE_MARROW_UP;;194;-0.40841547;-15.257.547;0.009868421;0.52877825;0.31;13498;tags=49%, list=32%, signal=72%
GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDC_DN;GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDC_DN;;200;-0.42850685;-15.252.116;0.008635579;0.5263836;0.311;11182;tags=49%, list=26%, signal=66%
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP;GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP;;196;-0.42073947;-15.244.321;0.007142857;0.5255707;0.314;12084;tags=48%, list=29%, signal=67%
GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_DN;GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_DN;;199;-0.43124712;-15.235.319;0.029982364;0.5256696;0.314;13100;tags=53%, list=31%, signal=77%
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_UP;GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_UP;;200;-0.41214603;-15.224.025;0.018771332;0.5273177;0.314;11910;tags=47%, list=28%, signal=65%
PDGF_ERK_DN.V1_DN;PDGF_ERK_DN.V1_DN;;148;-0.42057598;-15.219.132;0.037837837;0.5241863;0.315;11009;tags=47%, list=26%, signal=64%
GCNP_SHH_UP_LATE.V1_UP;GCNP_SHH_UP_LATE.V1_UP;;181;-0.4172231;-15.198.354;0.013445378;0.53347796;0.32;10889;tags=44%, list=26%, signal=59%
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN;GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN;;183;-0.4103899;-15.192.393;0.015679443;0.53162175;0.32;14334;tags=54%, list=34%, signal=81%
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP;GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP;;195;-0.42256734;-15.180.116;0.006980803;0.5349814;0.321;12089;tags=48%, list=29%, signal=67%
GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP;GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP;;200;-0.4214724;-15.172.254;0.008710802;0.53467;0.323;11373;tags=46%, list=27%, signal=62%
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN;GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN;;200;-0.42954436;-1.517.039;0.008650519;0.5299431;0.324;10831;tags=48%, list=26%, signal=64%
GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP;GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP;;200;-0.40052423;-15.159.255;0.024778761;0.53235114;0.327;13131;tags=50%, list=31%, signal=71%
GSE17721_LPS_VS_CPG_4H_BMDC_UP;GSE17721_LPS_VS_CPG_4H_BMDC_UP;;200;-0.42600933;-15.138.859;0.02;0.5413918;0.33;11406;tags=46%, list=27%, signal=62%
GSE43955_1H_VS_42H_ACT_CD4_TCELL_UP;GSE43955_1H_VS_42H_ACT_CD4_TCELL_UP;;200;-0.4044086;-1.513.137;0.01923077;0.5404572;0.33;11490;tags=48%, list=27%, signal=65%
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP;GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP;;193;-0.4135897;-1.512.872;0.019130435;0.5365682;0.33;10836;tags=47%, list=26%, signal=63%
GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_DN;GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_DN;;200;-0.42089498;-15.127.748;0.011608624;0.5315545;0.33;16090;tags=59%, list=38%, signal=95%
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN;GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN;;198;-0.41697386;-15.123.014;0.054054055;0.52955747;0.332;14438;tags=55%, list=34%, signal=83%
GSE22432_UNTREATED_VS_TGFB1_TREATED_COMMON_DC_PROGENITOR_DN;GSE22432_UNTREATED_VS_TGFB1_TREATED_COMMON_DC_PROGENITOR_DN;;200;-0.416342;-15.119.165;0.0100334445;0.5264388;0.332;11535;tags=49%, list=27%, signal=67%
GSE14415_INDUCED_TREG_VS_TCONV_DN;GSE14415_INDUCED_TREG_VS_TCONV_DN;;165;-0.40954605;-15.118.258;0.01718213;0.5216539;0.332;13103;tags=52%, list=31%, signal=75%
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP;GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP;;200;-0.4057995;-15.118.005;0.010135135;0.5164357;0.332;11349;tags=44%, list=27%, signal=60%
GSE40655_FOXO1_KO_VS_WT_NTREG_UP;GSE40655_FOXO1_KO_VS_WT_NTREG_UP;;200;-0.42125547;-15.112.963;0.02915952;0.51439905;0.332;10829;tags=47%, list=26%, signal=62%
GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP;GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP;;200;-0.40721455;-15.109.018;0.012110727;0.5117574;0.332;9249;tags=43%, list=22%, signal=54%
GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN;GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN;;138;-0.42372212;-15.103.972;0.020797227;0.5101804;0.332;10431;tags=46%, list=25%, signal=61%
GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN;GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN;;199;-0.40006146;-15.095.575;0.019130435;0.51053464;0.332;8978;tags=39%, list=21%, signal=49%
GSE14000_UNSTIM_VS_16H_LPS_DC_UP;GSE14000_UNSTIM_VS_16H_LPS_DC_UP;;197;-0.40135318;-15.089.427;0.031825796;0.5097802;0.333;11311;tags=45%, list=27%, signal=61%
GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP;GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP;;175;-0.4114644;-1.508.744;0.015625;0.50621355;0.333;9179;tags=39%, list=22%, signal=49%
PRC2_EZH2_UP.V1_DN;PRC2_EZH2_UP.V1_DN;;192;-0.41631177;-15.065.662;0.012131716;0.5164046;0.335;8405;tags=39%, list=20%, signal=49%
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN;GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN;;200;-0.39303678;-15.063.652;0.024647888;0.5128628;0.335;12880;tags=49%, list=30%, signal=69%
GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP;GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP;;200;-0.39910865;-1.505.781;0.00990099;0.51184124;0.335;12422;tags=47%, list=29%, signal=66%
GSE27896_HDAC6_KO_VS_WT_TREG_UP;GSE27896_HDAC6_KO_VS_WT_TREG_UP;;176;-0.42000535;-1.505.532;0.038528897;0.5089482;0.335;14066;tags=57%, list=33%, signal=85%
